TOKEN		OUTPUT			CORRECT
sitær			sitær (0)			sitia
kuar			kuar (0)			qvar
mæþ			mæþ (0)			mäþ
tiunde			tionde (1)			tiond
ar			vara (1)			ar
firi			firi (0)			for
þrea			þrea (0)			þrir
ok			uk (1)			ok
tiundan			tiundan (0)			tionde
præstinum			præstinum (0)			präster
ælla			ælla (0)			älla
tiundan			tiundan (0)			tionde
a			af (0.666667)			ägha
sua			sua (0)			sva
firi			firi (0)			for
annat			annat (0)			annar
ok			uk (1)			ok
sua			sua (0)			sva
firi			firi (0)			for
sitær			sitær (0)			sitia
kuar			kuar (0)			qvar
biskupe			biskupe (0)			biskoper
þrea			þrea (0)			þrir
markær			markær (0)			mark
före			fyrre (1)			föra
egh			äg (0.666667)			eigh
tiunda			tionda (1)			tionde
firi			firi (0)			for
paska			paska (0)			paskar
þa			þiggia (0.5)			þa
halde			halde (0)			halda
rezskap			rezskap (0)			reþskaper
kalle			kalle (0)			kalla
firi			firi (0)			for
kirkiu dyr			kirkiu dyr (0)			kirkio dyr
æpte			æpte (0)			äptir
paska			paska (0)			paskar
ok			uk (1)			ok
uiti			uiti (0)			vita
þæt			þæt (0)			þän
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
at			ägha (0.5)			at
sat			sea (0.5)			sitia
mæþ			mæþ (0)			mäþ
luui			luui (0)			lof
kuar			kuar (0)			qvar
ælla			ælla (0)			älla
ok			uk (1)			ok
at			ägha (0.5)			at
ælla			ælla (0)			älla
ok			uk (1)			ok
wltu			wltu (0)			valda
sialuir			sialuir (0)			siälver
at			ägha (0.5)			at
uildu			uildu (0)			vilia
egh			äg (0.666667)			eigh
uiþær			uiþær (0)			viþ
egh			äg (0.666667)			eigh
eþe			eþe (0)			eþer
þrea			þrea (0)			þrir
æn			æn (0)			än
sat			sea (0.5)			sitia
kuar			kuar (0)			qvar
æn			æn (0)			än
ar			vara (1)			ar
sat			sea (0.5)			sitia
ar			vara (1)			ar
markær			markær (0)			mark
uar			uar (0)			vara
saght			saght (0)			sighia
ær			ær (0)			vara
biskupær			biskupær (0)			biskoper
skyldughær			skyldughær (0)			skyldogher
firi			firi (0)			for
tiunda			tionda (1)			tionde
wighia			wighia (0)			vighia
krismu			krismu (0)			krisma
ok			uk (1)			ok
klærka			klærka (0)			klärker
kalk			kalk (0)			kalker
mæssu klæþe			mæssu klæþe (0)			mässo kläþe
ar			vara (1)			ar
tik			þighia (1)			til
tuæggia			tuæggia (0)			tver
gingærþ			gingærþ (0)			gengärþ
præste			præste (0)			präster
mæþ			mæþ (0)			mäþ
mannum			mannum (0)			maþer
ok			uk (1)			ok
sialuær			sialuær (0)			siälver
þrattande			þrattande (0)			þrättande
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
færma			færma (0)			färma
ok			uk (1)			ok
næmdir			næmdir (0)			nämd
þa			þiggia (0.5)			þa
biskupær			biskupær (0)			biskoper
uill			uill (0)			vilia
næmd			næmd (0)			nämd
þa			þiggia (0.5)			þa
fa			far (1)			fa
manaþa			manaþa (0)			manaþer
firi			firi (0)			for
sik			sighia (0.5)			sik
præstær			præstær (0)			präster
a			af (0.666667)			ägha
næmd			næmd (0)			nämd
gæra			gæra (0)			göra
sanna			sanna (0)			sander
mæn			mæn (0)			maþer
næmd			næmd (0)			nämd
sætia			sætia (0)			sätia
ok			uk (1)			ok
egh			äg (0.666667)			eigh
uiþærdelu mæn			uiþærdelu mæn (0)			viþerdelo man
ok			uk (1)			ok
egh			äg (0.666667)			eigh
soknara			soknara (0)			soknare
ok			uk (1)			ok
egh			äg (0.666667)			eigh
þæn			þæn (0)			þän
eþumin			eþumin (0)			eþer
stoþ			stoþ (0)			standa
ok			uk (1)			ok
næmdinne			næmdinne (0)			nämd
sighia			sea (1)			sighia
uiþær			uiþær (0)			viþ
uiþærdulu mænnini			uiþærdulu mænnini (0)			viþerdelo man
æru			æru (0)			vara
a			af (0.666667)			ägha
soknarin			soknarin (0)			soknare
eþa			eþa (0)			eþer
næmd			næmd (0)			nämd
bæra			bæra (0)			bära
þa			þiggia (0.5)			þa
næmdin			næmdin (0)			nämd
sik			sighia (0.5)			sik
ok			uk (1)			ok
talas			talas (0)			tala
uiþær			uiþær (0)			viþ
þa			þiggia (0.5)			þän
eþa			eþa (0)			eþer
hon			han (1)			hon
uær			uær (0)			väria
þa			þiggia (0.5)			þän
uarin			uarin (0)			vara
uarþi			uarþi (0)			väria
þa			þiggia (0.5)			þän
eþa			eþa (0)			eþer
hon			han (1)			hon
fælle			fælle (0)			fälla
þa			þiggia (0.5)			þän
uarin			uarin (0)			vara
fælde			fælde (0)			fälla
næmdin			næmdin (0)			nämd
nakuara			nakuara (0)			nokor
eþa			eþa (0)			eþer
kunungx dom			kunungx dom (0)			konungs domber
læggia			læggia (0)			läggia
ælla			ælla (0)			älla
laghmanzs			laghmanzs (0)			laghman
þa			þiggia (0.5)			þa
biþin			biþia (1)			biþa
eþa			eþa (0)			eþer
þær til			þær til (0)			þär til
uarþa			uarþa (0)			varþa
fællde			fællde (0)			fälla
ælla			ælla (0)			älla
uarþe			uarþe (0)			väria
laghkallaþ			laghkallaþ (0)			laghkallaþer
mal			mala (1)			mal
a			af (0.666667)			a
biskups næmd			biskups næmd (0)			biskops nämd
kuma			kuma (0)			koma
ekke			ekke (0)			äkke
alli			alli (0)			alder
eþa			eþa (0)			eþer
a			af (0.666667)			a
biskups næmd			biskups næmd (0)			biskops nämd
kuma			kuma (0)			koma
þæssin			þæssin (0)			þänne
mal			mala (1)			mal
a			af (0.666667)			a
biskups næmd			biskups næmd (0)			biskops nämd
meneþa			meneþa (0)			meneþer
skokuitne			skokuitne (0)			skrokvitni
oskiptaþ			oskiptaþ (0)			oskriptadher
kirkiu ran			kirkiu ran (0)			kirkio ran
hælghu dagha bardaghi			hælghu dagha bardaghi (0)			hälghudagha bardaghi
ok			uk (1)			ok
hælghudagha brut			hælghudagha brut (0)			hälghudagha brut
þæssa			þæssa (0)			þänne
eþa			eþa (0)			eþer
þa			þiggia (0.5)			þän
fælle			fælle (0)			fälla
biskups næmd			biskups næmd (0)			biskops nämd
sua			sua (0)			sva
at			ägha (0.5)			at
baþe			baþir (1)			baþe
biskupe			biskupe (0)			biskoper
ok			uk (1)			ok
kununge			kununge (0)			konunger
ok			uk (1)			ok
sua			sua (0)			sva
alle			alle (0)			alder
þerra			þerra (0)			þän
uprættar eþa			uprættar eþa (0)			uprättar eþer
ok			uk (1)			ok
forfalzs eþa			forfalzs eþa (0)			forfalz eþer
ok			uk (1)			ok
göþslu eþa			göþslu eþa (0)			gödslu eþer
ok			uk (1)			ok
sætis eþa			sætis eþa (0)			sätis eþer
ok			uk (1)			ok
alle			alle (0)			alder
eþa			eþa (0)			eþer
firi			firi (0)			for
tessin			tessin (0)			þänne
mal			mala (1)			mal
gangas			gangas (0)			ganga
þæt			þæt (0)			þän
æru			æru (0)			vara
iorþa delu			iorþa delu (0)			iorþa dela
manhælghis mal			manhælghis mal (0)			manhälghis mal
þiupta mal			þiupta mal (0)			þiufta mal
o			a (1)			ok
eþa			eþa (0)			eþer
firi			firi (0)			for
trulldoma			trulldoma (0)			troldomber
suærias			suærias (0)			sväria
a			af (0.666667)			ägha
egh			äg (0.666667)			eigh
tuæsuare			tuæsuare (0)			tväsväri
a			af (0.666667)			a
biskups næmd			biskups næmd (0)			biskops nämd
þæt			þæt (0)			þän
a			af (0.666667)			ägha
hærazs næmd			hærazs næmd (0)			härads nämd
uitnar			uitnar (0)			vitna
sinn			sinn (0)			sin
þiuf			þiuf (0)			þiuver
ælla			ælla (0)			älla
uitna			uitna (0)			vitna
maþær			maþær (0)			maþer
draps			draps (0)			drap
ælla			ælla (0)			älla
sighær			sighær (0)			sighia
ok			uk (1)			ok
sua			sua (0)			sva
at			ägha (0.5)			at
þæssa			þæssa (0)			þänne
sæt			sæt (0)			sät
uill			uill (0)			vilia
þik			þik (0)			þu
tokt			tokt (0)			taka
ælla			ælla (0)			älla
suær			suær (0)			sväria
annan			annan (0)			annar
frælsis			frælsis (0)			frälse
þa			þiggia (0.5)			þa
egh			äg (0.666667)			eigh
eþa			eþa (0)			eþer
a			af (0.666667)			a
biskups næmd			biskups næmd (0)			biskops nämd
suæria			suæria (0)			sväria
a			af (0.666667)			a
enum			enum (0)			en
dagh			dag (1)			dagher
þa			þiggia (0.5)			þa
egh			äg (0.666667)			eigh
biskups rætte			biskups rætte (0)			biskops rätter
bort			borþ (1)			bort
suæria			suæria (0)			sväria
þer			þär (0.75)			þän
egh			äg (0.666667)			eigh
a			af (0.666667)			a
enum			enum (0)			en
dagh			dag (1)			dagher
ok			uk (1)			ok
skriptas			skriptas (0)			skripta
för			fyr (1)			for
æn			æn (0)			än
fældær			fældær (0)			falla
uarþær			uarþær (0)			varþa
þa			þiggia (0.5)			þa
ok			uk (1)			ok
egh			äg (0.666667)			eigh
fæ			fæ (0)			fä
hwzs maþrin			hwzs maþrin (0)			hovuds man
baþe			baþir (1)			baþe
ok			uk (1)			ok
fa			far (1)			fä
ok			uk (1)			ok
mal			mala (1)			mal
a			af (0.666667)			a
biskups næmd			biskups næmd (0)			biskops nämd
feld			feld (0)			falla
uarþa			uarþa (0)			varþa
ok			uk (1)			ok
skriptaþ			skriptaþ (0)			skripta
uarþa			uarþa (0)			varþa
firi			firi (0)			for
biskups			biskups (0)			biskoper
tilkuæmd			tilkuæmd (0)			tilqvämd
þer			þär (0.75)			þän
ok			uk (1)			ok
egh			äg (0.666667)			eigh
fæ			fæ (0)			fä
huwþz mannin			huwþz mannin (0)			hovuds man
baþe			baþir (1)			baþe
ok			uk (1)			ok
fæ			fæ (0)			fä
dele			dele (0)			dela
præstær			præstær (0)			präster
ok			uk (1)			ok
soknari			soknari (0)			soknare
præstær			præstær (0)			präster
sighær			sighær (0)			sighia
bondan			bondan (0)			bonde
skriptaþan			skriptaþan (0)			skripta
uara			uara (0)			vara
firi			firi (0)			for
næmda fall			næmda fall (0)			nämda fal
ok			uk (1)			ok
sighær			sighær (0)			sighia
þa			þiggia (0.5)			þa
præstær			præstær (0)			präster
skripþan			skripþan (0)			skripta
uita			uita (0)			vita
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
firi			firi (0)			for
biskupe			biskupe (0)			biskoper
ælla			ælla (0)			älla
prouaste			prouaste (0)			provaster
uarþær			uarþær (0)			varþa
dighær			dighær (0)			digher
hore			hore (0)			hor
ællas			ællas (0)			ällas
ætsku spiælle			ætsku spiælle (0)			ätsku spiäl
þæn			þæn (0)			þän
ualt			ualt (0)			valda
ær			ær (0)			vara
sakær			sakær (0)			saker
uiþ			uiþ (0)			viþ
biskup			biskup (0)			biskoper
at			ägha (0.5)			at
þrim			þrim (0)			þrir
markum			markum (0)			mark
ok			uk (1)			ok
konan			konan (0)			kona
se			sea (0.5)			vara
þær			þær (0)			þär
hialpær			hialpær (0)			hiälpa
egh			äg (0.666667)			eigh
firi			firi (0)			for
haui			haui (0)			hava
sik			sighia (0.5)			sik
skiptat			skiptat (0)			skripta
för			fyr (1)			for
æn			æn (0)			än
uisse			uisse (0)			vita
at			ägha (0.5)			at
hon			han (1)			hon
hauande			hauande (0)			hava
uar			uar (0)			vara
kære			kære (0)			kära
biskups			biskups (0)			biskoper
þa			þiggia (0.5)			þa
uita			uita (0)			vita
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
sua			sua (0)			sva
at			ägha (0.5)			at
uar			uar (0)			vara
kriptaþær			kriptaþær (0)			skriptadher
för			fyr (1)			for
æn			æn (0)			än
uisse			uisse (0)			vita
at			ägha (0.5)			at
hon			han (1)			hon
hauande			hauande (0)			hava
war			var (0.666667)			vara
takær			takær (0)			taka
maþær			maþær (0)			maþer
yppinbarlika			yppinbarlika (0)			opinbarlika
ok			uk (1)			ok
faldær			faldær (0)			falla+ater
atær			atær (0)			ater
samu			samu (0)			samber
þæt			þæt (0)			þän
hete			hete (0)			heta
skipta			skipta (0)			skript
ær			ær (0)			vara
sakær			sakær (0)			saker
uiþ			uiþ (0)			viþ
biskup			biskup (0)			biskoper
at			ägha (0.5)			at
þrim			þrim (0)			þrir
markum			markum (0)			mark
þær			þær (0)			þär
firi			firi (0)			for
hialpær			hialpær (0)			hiälpa
egh			äg (0.666667)			eigh
ælla			ælla (0)			älla
gær			gær (0)			göra
ælla			ælla (0)			älla
ætsku spiæll			ætsku spiæll (0)			ätsku spiäl
ælla			ælla (0)			älla
takær			takær (0)			taka
yppinbarlika			yppinbarlika (0)			opinbarlika
firi			firi (0)			for
ælla			ælla (0)			älla
firi			firi (0)			for
meneþa			meneþa (0)			meneþer
ok			uk (1)			ok
faldær			faldær (0)			falla+ater
atær			atær (0)			ater
samu			samu (0)			samber
þæt			þæt (0)			þän
kalla			kalder (1)			kalla
þær			þær (0)			þär
a			af (0.666667)			ägha
biskupe			biskupe (0)			biskoper
firi			firi (0)			for
þrea			þrea (0)			þrir
markær			markær (0)			mark
liggær			liggær (0)			liggia
maþær			maþær (0)			maþer
löska læghi			löska læghi (0)			löskaläghe
ok			uk (1)			ok
takær			takær (0)			taka
sik			sighia (0.5)			sik
præste			præste (0)			präster
ok			uk (1)			ok
faldær			faldær (0)			falla+ater
atær			atær (0)			ater
samu			samu (0)			samber
þa			þiggia (0.5)			þa
taki			taki (0)			taka
sik			sighia (0.5)			sik
atær			atær (0)			ater
præste			præste (0)			präster
ok			uk (1)			ok
uari			uari (0)			vara
firi			firi (0)			for
fea gialdit			fea gialdit (0)			fäar giäld
ok			uk (1)			ok
haldær			haldær (0)			halda
præstær			præstær (0)			präster
ulaghlica			ulaghlica (0)			olaghlika
a			af (0.666667)			a
paska dagh			paska dagh (0)			paska dagher
firi			firi (0)			for
löska læghi			löska læghi (0)			löskaläghe
þa			þiggia (0.5)			þa
biskupe			biskupe (0)			biskoper
þrea			þrea (0)			þrir
markær			markær (0)			mark
gangær			gangær (0)			ganga+ater
eþær			eþær (0)			eþer
atær			atær (0)			ater
a			af (0.666667)			a
biskups næmd			biskups næmd (0)			biskops nämd
þa			þiggia (0.5)			þa
suoru			suoru (0)			sväria
eþinum			eþinum (0)			eþer
ok			uk (1)			ok
hwuzs mannin			hwuzs mannin (0)			hovuds man
hialpær			hialpær (0)			hiälpa
egh			äg (0.666667)			eigh
firi			firi (0)			for
biskups sak			biskups sak (0)			biskops sak
ængin			ængin (0)			ängin
eþ			eþ (0)			eþer
a mot			a mot (0)			a mote
biskups næmd			biskups næmd (0)			biskops nämd
ælla			ælla (0)			älla
kunungx			kunungx (0)			konunger
gær			gær (0)			göra
hon			han (1)			hon
wrangt			wrangt (0)			vranger
þa			þiggia (0.5)			þa
kunugx			kunugx (0)			konunger
ælla			ælla (0)			älla
laghmanz dombær			laghmanz dombær (0)			laghmanz domber
mæt			mæt (0)			mäþ
yppinbarum			yppinbarum (0)			opinbar
uitnum			uitnum (0)			vitne
hana			han (1)			hon
atær			atær (0)			ater
fællir			fællir (0)			fälla
annur			annur (0)			annar
næmd			næmd (0)			nämd
ok			uk (1)			ok
annur			annur (0)			annar
uær			uær (0)			väria
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
næmdin			næmdin (0)			nämd
witzs orþ			witzs orþ (0)			vitsorþ
gærþin			gærþin (0)			gärþ
uar			uar (0)			vara
gör			göra (1)			gör
at			ägha (0.5)			at
baþe			baþir (1)			baþe
hæraz næmd			hæraz næmd (0)			härads nämd
ok			uk (1)			ok
biskups namd			biskups namd (0)			biskops nämd
allum			allum (0)			alder
þær			þær (0)			þär
gærþin			gærþin (0)			gärþ
uar			uar (0)			vara
gör			göra (1)			gör
ok			uk (1)			ok
næmdin			næmdin (0)			nämd
fælla			fælla (0)			fälla
ælla			ælla (0)			älla
wæria			wæria (0)			väria
uarþær			uarþær (0)			varþa
maþær			maþær (0)			maþer
fældær			fældær (0)			fälla
a			af (0.666667)			a
næmd			næmd (0)			nämd
ok			uk (1)			ok
kalla			kalder (1)			kalla
sik			sighia (0.5)			sik
egh			äg (0.666667)			eigh
fældan			fældan (0)			fälla
uara			uara (0)			vara
mæn			mæn (0)			maþer
næmdinne			næmdinne (0)			nämd
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
witz orþ			witz orþ (0)			vitsorþ
ok			uk (1)			ok
uari			uari (0)			vara
uarþær			uarþær (0)			väria
skil			skilia (0.5)			skilia+a
a			af (0.666667)			a
næmdinne			næmdinne (0)			nämd
æru			æru (0)			vara
uilia			uilia (0)			vilia
uæria			uæria (0)			väria
þa			þiggia (0.5)			þa
ær			ær (0)			vara
wart			varþa (0.5)			väria
fælla			fælla (0)			fälla
þa			þiggia (0.5)			þa
ær			ær (0)			vara
fælt			fælt (0)			fälla
æn			æn (0)			än
þer			þär (0.75)			þän
æru			æru (0)			vara
wil			vilder (1)			vilia
næmdin			næmdin (0)			nämd
huazke			huazke (0)			hvarte
gæra			gæra (0)			göra
fælla			fælla (0)			fälla
ælla			ælla (0)			älla
wæria			wæria (0)			väria
ok			uk (1)			ok
soknarin			soknarin (0)			soknare
sighær			sighær (0)			sighia
fældan			fældan (0)			fälla
uara			uara (0)			vara
þa			þiggia (0.5)			þa
stæmne			stæmne (0)			stämna
bondin			bondin (0)			bonde
næmdinne			næmdinne (0)			nämd
antuiggia			antuiggia (0)			annattväggia
uæria			uæria (0)			väria
sik			sighia (0.5)			sik
ælla			ælla (0)			älla
fælla			fælla (0)			fälla
sik			sighia (0.5)			sik
wil			vilder (1)			vilia
hon			han (1)			hon
gæra			gæra (0)			göra
þa			þiggia (0.5)			þa
söke			söke (0)			sökia
lagha soknina			lagha soknina (0)			lagha sokn
ok			uk (1)			ok
sua			sua (0)			sva
lionga þing			lionga þing (0)			Lionga þing*
æfter			æfter (0)			äptir
næmdin			næmdin (0)			nämd
egh			äg (0.666667)			eigh
ræt			ræt (0)			rätter
lionga þinge			lionga þinge (0)			Lionga þing*
fælla			fælla (0)			fälla
ælla			ælla (0)			älla
uæria			uæria (0)			väria
firi			firi (0)			for
markær			markær (0)			mark
æn			æn (0)			än
uilia			uilia (0)			vilia
uæria			uæria (0)			väria
ok			uk (1)			ok
fælla			fælla (0)			fälla
þa			þiggia (0.5)			þa
uitzs orþ			uitzs orþ (0)			vitsorþ
uæria			uæria (0)			väria
uilia			uilia (0)			vilia
sua			sua (0)			sva
ær			ær (0)			vara
ok			uk (1)			ok
allum			allum (0)			alder
næmdum			næmdum (0)			nämd
biskups næmd			biskups næmd (0)			biskops nämd
ok			uk (1)			ok
hærazs næmd			hærazs næmd (0)			härads nämd
lagha gærþ			lagha gærþ (0)			lagha gärþ
gangær			gangær (0)			ganga
eþ			eþ (0)			eþer
ælla			ælla (0)			älla
wærka			wærka (0)			värka
andra			andra (0)			annar
sak			saker (1)			sak
biskups sak			biskups sak (0)			biskops sak
ær			ær (0)			vara
ok			uk (1)			ok
för æn			för æn (0)			fyr än
malit			malit (0)			mal
uarþær			uarþær (0)			varþa
laghunnit			laghunnit (0)			laghvinna
ok			uk (1)			ok
eþrin			eþrin (0)			eþer
uarþær			uarþær (0)			varþa
fældær			fældær (0)			fälla
þa			þiggia (0.5)			þa
biskps sak			biskps sak (0)			biskops sak
mæþ			mæþ (0)			mäþ
ok			uk (1)			ok
liuande			liuande (0)			liva
æru			æru (0)			vara
sak			saker (1)			sak
þæt			þæt (0)			þän
æru			æru (0)			vara
þrea			þrea (0)			þrir
markær			markær (0)			mark
biskupe			biskupe (0)			biskoper
þæn			þæn (0)			þän
egh			äg (0.666667)			eigh
war			var (0.666667)			vara
skriptaþær			skriptaþær (0)			skripta
æn			æn (0)			än
eþrin			eþrin (0)			eþer
fællis			fællis (0)			fälla
kunungx sak			kunungx sak (0)			*konungs sak
ælla			ælla (0)			älla
hærazs sak			hærazs sak (0)			härads sak*
ælla			ælla (0)			älla
malsæghanda sak			malsæghanda sak (0)			malsäghanda sak
hana			han (1)			hon
mansis			mansis (0)			maþer
arua			arua (0)			arve
þa			þiggia (0.5)			þa
æn			æn (0)			än
sakin			sakin (0)			sak
uar			uar (0)			vara
liuande			liuande (0)			liva
þa			þiggia (0.5)			þa
arua			arua (0)			arve
sua			sua (0)			sva
biskups sak			biskups sak (0)			biskops sak
kunungx sak			kunungx sak (0)			*konungs sak
uarþær			uarþær (0)			varþa
næmd			næmd (0)			nämd
atær dömd			atær dömd (0)			aterdöma
alle			alle (0)			alder
þer			þär (0.75)			þän
hænne			hænne (0)			hon
suoru			suoru (0)			sväria
æru			æru (0)			vara
saki			saki (0)			saker
at			ägha (0.5)			at
markum			markum (0)			mark
ena			ena (0)			en
mark			margher (0.5)			mark
kunginum			kunginum (0)			konunger
andra			andra (0)			annar
malsæghandanum			malsæghandanum (0)			malsäghande
þriþio			þriþio (0)			þriþi
hæræþe			hæræþe (0)			häraþe
ok			uk (1)			ok
markær			markær (0)			mark
biskupe			biskupe (0)			biskoper
huat			huat (0)			hvat
hældær			hældær (0)			hälder
hon			han (1)			hon
gik			ganga (1)			ganga+ater
atær			atær (0)			ater
firi			firi (0)			for
ælla			ælla (0)			älla
firi			firi (0)			for
þær			þær (0)			þär
hialpær			hialpær (0)			hiälpa
egh			äg (0.666667)			eigh
lönd skript			lönd skript (0)			löndskript
firi			firi (0)			for
biskups sak			biskups sak (0)			biskops sak
at			ägha (0.5)			at
þær			þær (0)			þär
ær			ær (0)			vara
hwuzs man			hwuzs man (0)			hovuds man
firi			firi (0)			for
sik			sighia (0.5)			sik
gifs			gifs (0)			giva
nokrum			nokrum (0)			nokor
næmdinne			næmdinne (0)			nämd
ok			uk (1)			ok
ække			ække (0)			äkke
kununginum			kununginum (0)			konunger
malsæghandanum			malsæghandanum (0)			malsäghande
ok			uk (1)			ok
hæræþe			hæræþe (0)			häraþe
ok			uk (1)			ok
se			sea (0.5)			vara
firi			firi (0)			for
biskpe			biskpe (0)			biskoper
sua			sua (0)			sva
ok			uk (1)			ok
allum			allum (0)			alder
eþum			eþum (0)			eþer
atær ganga			atær ganga (0)			aterganga
firi			firi (0)			for
men			min (0.5)			maþer
allum			allum (0)			alder
þær			þær (0)			þär
gæfs			gæfs (0)			giva
egh			äg (0.666667)			eigh
biskupe			biskupe (0)			biskoper
kære			kære (0)			kära
soknarin			soknarin (0)			soknare
bondans			bondans (0)			bonde
sighær			sighær (0)			sighia
standit			standit (0)			standa
eþe			eþe (0)			eþer
atær			atær (0)			ater
ær			ær (0)			vara
brutin			bryta (1)			bryta+ater
mæþ			mæþ (0)			mäþ
biskups næmd			biskups næmd (0)			biskops nämd
ælla			ælla (0)			älla
kunungx			kunungx (0)			konunger
ok			uk (1)			ok
bondin			bondin (0)			bonde
sighær			sighær (0)			sighia
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þæt			þæt (0)			þän
uitzs orþ			uitzs orþ (0)			vitsorþ
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
gitær			gitær (0)			gita
eþ			eþ (0)			eþer
uari			uari (0)			vara
bristær			bristær (0)			brista
at			ägha (0.5)			at
eþe			eþe (0)			eþer
skilt			skilt (0)			skilia
ær			ær (0)			vara
mange			mange (0)			manger
sakinne			sakinne (0)			sak
baþitiggia			baþitiggia (0)			baþirtväggia
masæghande			masæghande (0)			malsäghande
ok			uk (1)			ok
kunungx			kunungx (0)			konunger
biskups			biskups (0)			biskoper
hæraz			hæraz (0)			häraþ
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
masæghandanum			masæghandanum (0)			malsäghande
först			fyrst (1)			fyrre
ræt			ræt (0)			rätter
gæra			gæra (0)			göra
ælla			ælla (0)			älla
lagh			liggia (1)			lagh
fæsta			fæsta (0)			fästa
ær			ær (0)			vara
egh			äg (0.666667)			eigh
malsæghandin			malsæghandin (0)			malsäghande
ælla			ælla (0)			älla
kære			kære (0)			kära
egh			äg (0.666667)			eigh
æfte			æfte (0)			äptir
ok			uk (1)			ok
fæste			fæste (0)			fästa
soknarumin			soknarumin (0)			soknare
lagh			liggia (1)			lagh
ok			uk (1)			ok
beþas			beþas (0)			biþia
þa			þiggia (0.5)			þa
eþa taka			eþa taka (0)			eþa taki
ok			uk (1)			ok
þings			þings (0)			þing
ok			uk (1)			ok
sua			sua (0)			sva
sæghia			sæghia (0)			sighia
hær			hær (0)			här
ær			ær (0)			vara
min			iak (0.5)			min
at			ägha (0.5)			at
eþe			eþe (0)			eþer
fæste			fæste (0)			fästa
enum			enum (0)			en
sakinne			sakinne (0)			sak
læggin			læggin (0)			läggia
þingsmæn			þingsmæn (0)			þingsmän
fæmt			fæmt (0)			fämt
ok			uk (1)			ok
före			fyrre (1)			föra
þæn			þæn (0)			þän
eþ			eþ (0)			eþer
sik			sighia (0.5)			sik
handum			handum (0)			hand
æn			æn (0)			än
egh			äg (0.666667)			eigh
ær			ær (0)			vara
eþsört			eþsört (0)			eþsör
a			af (0.666667)			a
dagh			dag (1)			dagher
þa			þiggia (0.5)			þa
þæn			þæn (0)			þän
dagh			dag (1)			dagher
næst			næst (0)			näst
ær			ær (0)			vara
ok			uk (1)			ok
eþzsöre			eþzsöre (0)			eþsöre
ær			ær (0)			vara
a			af (0.666667)			a
ok			uk (1)			ok
kombær			kombær (0)			koma
nakuar			nakuar (0)			nokor
þæn			þæn (0)			þän
a			af (0.666667)			a
stæmnuna			stæmnuna (0)			stämna
a			af (0.666667)			ägha
sakinne			sakinne (0)			sak
þa			þiggia (0.5)			þa
gange			gange (0)			ganga
eþ			eþ (0)			eþer
æn			æn (0)			än
at			ägha (0.5)			at
þæn			þæn (0)			þän
kumi			kumi (0)			koma
egh			äg (0.666667)			eigh
eþrin			eþrin (0)			eþer
uar			uar (0)			vara
fæstær			fæstær (0)			fästa
ok			uk (1)			ok
hete			hete (0)			heta
þer			þär (0.75)			þän
sakinne			sakinne (0)			sak
ok			uk (1)			ok
uill			uill (0)			vilia
egh			äg (0.666667)			eigh
eþ			eþ (0)			eþer
hete			hete (0)			heta
fallin			fallin (0)			falla
kombær			kombær (0)			koma
ængin			ængin (0)			ängin
þerra			þerra (0)			þän
a			af (0.666667)			ägha
sakinne			sakinne (0)			sak
þa			þiggia (0.5)			þa
siti			siti (0)			sitia
þær			þær (0)			þär
daghrin			daghrin (0)			dagher
ær			ær (0)			vara
ok			uk (1)			ok
fa			far (1)			fa
stæmnu manna eþ			stæmnu manna eþ (0)			stämnomanna eþer
ok			uk (1)			ok
se			sea (0.5)			vara
ær			ær (0)			vara
þæt			þæt (0)			þän
boda			baþe (1)			bonde
skyld			skyld (0)			skuld
sunnudagh			sunnudagh (0)			sunnodagher
kirkiu			kirkiu (0)			kirkia
præstær			præstær (0)			präster
a			af (0.666667)			ägha
hælgþ			hælgþ (0)			hälgh
ok			uk (1)			ok
fastudagha			fastudagha (0)			fastudagher
glömir			glömir (0)			glöma
præstær			præstær (0)			präster
ok			uk (1)			ok
brytær			brytær (0)			bryta
þa			þiggia (0.5)			þa
ær			ær (0)			vara
præstær			præstær (0)			präster
sakær			sakær (0)			saker
ok			uk (1)			ok
osakær			osakær (0)			osaker
biuþær			biuþær (0)			biuþa
præstær			præstær (0)			präster
ok			uk (1)			ok
brytær			brytær (0)			bryta
þa			þiggia (0.5)			þa
ær			ær (0)			vara
þær			þær (0)			þär
hialpær			hialpær (0)			hiälpa
egh			äg (0.666667)			eigh
firi			firi (0)			for
þa			þiggia (0.5)			þa
æn			æn (0)			än
ær			ær (0)			vara
sokna			sokna (0)			sokn
a			af (0.666667)			a
uatnum			uatnum (0)			vatn
ælla			ælla (0)			älla
uæghum			uæghum (0)			vägher
þa			þiggia (0.5)			þa
ok			uk (1)			ok
egh			äg (0.666667)			eigh
fææ			fææ (0)			fä
firi			firi (0)			for
allum			allum (0)			alder
