TOKEN		OUTPUT			CORRECT
oc			ok (1)			ok
til			til (0)			til
wart			varþa (0.5)			varþa
oc			ok (1)			ok
ty			þän (1)			þän
innan			innan (0)			innan
til			til (0)			til
war			var (0.666667)			var
aar			ar (1)			ar
oc			ok (1)			ok
innan			innan (0)			innan
templum			templum (0)			templum
oc			ok (1)			ok
haffwa			hava (1)			hava
oc			ok (1)			ok
ey			eigh (1)			eigh
caldei			caldei (0)			caldei
oc			ok (1)			ok
til			til (0)			til
hans			han (1)			han
son			son (1)			son
som			sum (1)			sum
heet			heta (1)			heta
man			maþer (1)			maþer
oc			ok (1)			ok
oc			ok (1)			ok
hwarte			hvarte (1)			hvarte
han			han (1)			han
longinianus			longinianus (0)			longinianus
han			han (1)			han
innan			innan (0)			innan
hans			han (1)			han
aff			af (1)			af
han			han (1)			han
swa			sva (1)			sva
gamal			gamal (0)			gamal
man			maþer (1)			maþer
han			han (1)			han
kunne			kunna (1)			kunna
bok			bok (0)			bok
alla			alder (1)			alder
han			han (1)			han
aff			af (1)			af
til			til (0)			til
mz			mäþ (1)			mäþ
oc			ok (1)			ok
son			son (1)			son
aff			af (1)			af
oc			ok (1)			ok
in			in (0)			in
fadhir			faþir (1)			faþir
som			sum (1)			sum
mz			mäþ (1)			mäþ
til			til (0)			til
han			han (1)			han
aff			af (1)			af
nyo			nyr (1)			nyr
sino			sin (0.5)			sin
alla			alder (1)			alder
fram			fram (0)			fram
til			til (0)			til
sina			sin (0.5)			sin
mykit			mykil (1)			mykil
oc			ok (1)			ok
honom			han (1)			han
vald			vald (0)			vald
oc			ok (1)			ok
alla			alder (1)			alder
oc			ok (1)			ok
alla			alder (1)			alder
innan			innan (0)			innan
aff			af (1)			af
allom			alder (1)			alder
tollum			tolder (1)			tolder
aff			af (1)			af
oc			ok (1)			ok
som			sum (1)			sum
oc			ok (1)			ok
fuldo			fylghia (1)			fylghia
honom			han (1)			han
til			til (0)			til
oc			ok (1)			ok
kom			koma (1)			koma
til			til (0)			til
oc			ok (1)			ok
til			til (0)			til
offer			offer (0)			offer
oc			ok (1)			ok
oc			ok (1)			ok
templum			templum (0)			templum
mz			mäþ (1)			mäþ
oc			ok (1)			ok
swa			sva (1)			sva
mz			mäþ (1)			mäþ
oc			ok (1)			ok
boa			boa (0)			boa
oc			ok (1)			ok
om			um (1)			um
oc			ok (1)			ok
nat			nat (0)			nat
som			sum (1)			sum
heet			heta (1)			heta
om			um (1)			um
mz			mäþ (1)			mäþ
han			han (1)			han
aff			af (1)			af
oc			ok (1)			ok
fara			fara (1)			fara
til			til (0)			til
oc			ok (1)			ok
byggia			byggia (0)			byggia
oc			ok (1)			ok
mangh			manger (1)			manger
land			land (0)			land
til at			til at (0)			til at
byggia			byggia (0)			byggia
kom			koma (1)			koma
mz			mäþ (1)			mäþ
til			til (0)			til
oc			ok (1)			ok
allan			alder (1)			alder
oc			ok (1)			ok
innan			innan (0)			innan
aar			ar (1)			ar
twa			tver (1)			tver
han			han (1)			han
han			han (1)			han
nothus			nothus (0)			nothus
han			han (1)			han
som			sum (1)			sum
hans			han (1)			han
regina			regina (0)			regina
oc			ok (1)			ok
oc			ok (1)			ok
han			han (1)			han
han			han (1)			han
stridde			striþa (1)			striþa
oc			ok (1)			ok
oc			ok (1)			ok
rike			rike (0)			rike
oc			ok (1)			ok
wordo			varþa (1)			varþa
greci			greci (0)			greci
som			sum (1)			sum
aff			af (1)			af
oc			ok (1)			ok
annor			annar (1)			annar
som			sum (1)			sum
aff			af (1)			af
them			þän (1)			þän
oc			ok (1)			ok
til			til (0)			til
war			var (0.666667)			var
oc			ok (1)			ok
oc			ok (1)			ok
maghom			magha (1)			magha
oc			ok (1)			ok
til			til (0)			til
aff			af (1)			af
kom			koma (1)			koma
aff			af (1)			af
aff			af (1)			af
aff			af (1)			af
aff			af (1)			af
aff			af (1)			af
aff			af (1)			af
aff			af (1)			af
aff			af (1)			af
aff			af (1)			af
fru			fru (0)			fru
syslungi			systlunge (1)			systlunge
oc			ok (1)			ok
hwariom			hvar (1)			hvar
manne			maþer (1)			maþer
sina			sin (0.5)			sin
sanctus			sanctus (0)			sanctus
swa			sva (1)			sva
som			sum (1)			sum
hwar			hvar (1)			hvar
aat			at (0.666667)			at
scrifft			skript (1)			skript
aff			af (1)			af
oc			ok (1)			ok
ey			eigh (1)			eigh
vara			var (0.666667)			var
fru			fru (0)			fru
til			til (0)			til
til			til (0)			til
oc			ok (1)			ok
aff			af (1)			af
vara			var (0.666667)			var
fru			fru (0)			fru
oc			ok (1)			ok
aff			af (1)			af
modhir			moþir (1)			moþir
ther			þär (1)			þär
son			son (1)			son
modhir			moþir (1)			moþir
oc			ok (1)			ok
oc			ok (1)			ok
fran			fran (0)			fran
oc			ok (1)			ok
oc			ok (1)			ok
aar			ar (1)			ar
twe			tver (1)			tver
milia			milia (0)			milia
sunt			sunt (0)			sunt
quinque			quinque (0)			quinque
centum			centum (0)			centum
nonaginta			nonaginta (0)			nonaginta
nouemque			nouemque (0)			nouemque
annos			annos (0)			annos
cristum			cristum (0)			cristum
numerare			numerare (0)			numerare
velis			velis (0)			velis
byria			byria (0)			byria
til			til (0)			til
nu			nu (0)			nu
kirkia			kirkia (0)			kirkia
skal			skula (1)			skula
til			til (0)			til
tolf			tolf (0)			tolf
þynia			þyn (1)			þyn
tolf			tolf (0)			tolf
skal			skula (1)			skula
köpa			köpa (0)			köpa
allan			alder (1)			alder
sum			sum (0)			sum
hialpa			hiälpa (1)			hiälpa
skal			skula (1)			skula
manne			maþer (1)			maþer
i			i (0)			i
ur			ur (0)			ur
skal			skula (1)			skula
sokn			sokn (0)			sokn
kusta			kosta (1)			kosta
siþan			siþan (0)			siþan
skal			skula (1)			skula
buþ			buþ (0)			buþ
han			han (1)			han
skal			skula (1)			skula
i			i (0)			i
sokn			sokn (0)			sokn
koma			koma (0)			koma
tolf			tolf (0)			tolf
han			han (1)			han
hanum			han (1)			han
uppi			uppe (1)			uppe
hanum			han (1)			han
skulu			skula (1)			skula
hanum			han (1)			han
þriggia			þrir (1)			þrir
þynia			þyn (1)			þyn
öl			öl (0)			öl
þyn			þyn (0)			þyn
þyn			þyn (0)			þyn
biug			biug (0)			biug
skal			skula (1)			skula
han			han (1)			han
haua			hava (1)			hava
til			til (0)			til
sins			sin (1)			sin
fiura			fiurir (1)			fiurir
þyni			þyn (1)			þyn
las			las (0)			las
þry			þrir (1)			þrir
pund			pund (0)			pund
pund			pund (0)			pund
et			en (1)			en
tolf			tolf (0)			tolf
höns			höns (0)			höns
han			han (1)			han
þöm			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
köt			kiöt (1)			kiöt
hanum			han (1)			han
et			en (1)			en
halft			halver (1)			halver
pund			pund (0)			pund
nu			nu (0)			nu
will			vilia (1)			vilia
skal			skula (1)			skula
han			han (1)			han
buþ			buþ (0)			buþ
han			han (1)			han
mote			mote (0)			mote
hanum			han (1)			han
alla			alder (1)			alder
sum			sum (0)			sum
um			um (0)			um
skulu			skula (1)			skula
til			til (0)			til
ligia			liggia (1)			liggia
alla			alder (1)			alder
sum			sum (0)			sum
siþan			siþan (0)			siþan
kirkia			kirkia (0)			kirkia
sum			sum (0)			sum
han			han (1)			han
til			til (0)			til
til			til (0)			til
nu			nu (0)			nu
kirkia			kirkia (0)			kirkia
um			um (0)			um
innan			innan (0)			innan
skal			skula (1)			skula
hemula			hemola (1)			hemola
sum			sum (0)			sum
gaf			giva (1)			giva
hans			han (1)			han
sum			sum (0)			sum
til			til (0)			til
til			til (0)			til
nu			nu (0)			nu
kirkia			kirkia (0)			kirkia
mistinge			mistinge (0)			mistinge
sinna			sin (0.5)			sin
iorþ			iorþ (0)			iorþ
siþan			siþan (0)			siþan
kirkia			kirkia (0)			kirkia
um			um (0)			um
i			i (0)			i
til			til (0)			til
um			um (0)			um
hanum			han (1)			han
um			um (0)			um
til			til (0)			til
will			vilia (1)			vilia
þing			þing (0)			þing
þriþia			þriþi (1)			þriþi
þing			þing (0)			þing
böte			böta (1)			böta
skal			skula (1)			skula
til			til (0)			til
taka			taka (0)			taka
skulu			skula (1)			skula
raþa			raþa (0)			raþa
i			i (0)			i
lata			lata (0)			lata
af			af (0)			af
taka			taka (0)			taka
sum			sum (0)			sum
han			han (1)			han
utan			utan (0)			utan
þöm			þän (1)			þän
i			i (0)			i
sokn			sokn (0)			sokn
aghu			ägha (1)			ägha
skal			skula (1)			skula
taka			taka (0)			taka
i			i (0)			i
af			af (0)			af
taka			taka (0)			taka
sum			sum (0)			sum
han			han (1)			han
skulu			skula (1)			skula
taka			taka (0)			taka
i			i (0)			i
nu			nu (0)			nu
kan			kunna (1)			kunna
kirkia			kirkia (0)			kirkia
brinna			brinna (0)			brinna
ipnum			opin (1)			opin
skal			skula (1)			skula
göra			göra (0)			göra
han			han (1)			han
til			til (0)			til
skuld			skuld (0)			skuld
boa			boa (0)			boa
i			i (0)			i
alla			alder (1)			alder
gör			göra (1)			göra
þöm			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
sak			saker (1)			saker
þöm			þän (1)			þän
aghu			ägha (1)			ägha
taka			taka (0)			taka
sum			sum (0)			sum
i			i (0)			i
sokn			sokn (0)			sokn
utan			utan (0)			utan
han			han (1)			han
sin			sin (0.6)			sin
hans			han (1)			han
i			i (0)			i
sot			sot (0)			sot
far			fa (0.333333)			fa
af			af (0)			af
sinum			sin (0.5)			sin
buþ			buþ (0)			buþ
nu			nu (0)			nu
far			fa (0.333333)			fa
buþ			buþ (0)			buþ
han			han (1)			han
skal			skula (1)			skula
bonda			bonde (1)			bonde
skripta			skripta (0)			skripta
olia			olia (0)			olia
nu			nu (0)			nu
barn			barn (0)			barn
far			fa (0.333333)			fa
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
för			fyr (1)			fyr
barn			barn (0)			barn
þy			þän (1)			þän
af			af (0)			af
fangit			fa (1)			fa
far			fa (0.333333)			fa
bonde			bonde (0)			bonde
skript			skript (0)			skript
oling			oling (0)			oling
utan			utan (0)			utan
han			han (1)			han
sin			sin (0.6)			sin
han			han (1)			han
þriþi			þriþi (1)			þriþi
far			fa (0.333333)			fa
han			han (1)			han
gangit			ganga (1)			ganga
saklös			saklös (0)			saklös
hans			han (1)			han
böte			böta (1)			böta
nu			nu (0)			nu
skuld			skuld (0)			skuld
bok			bok (0)			bok
stol			stol (0)			stol
i			i (0)			i
sokn			sokn (0)			sokn
nu			nu (0)			nu
dör			döia (1)			döia
bonde			bonde (0)			bonde
skal			skula (1)			skula
til			til (0)			til
hans			han (1)			han
koma			koma (0)			koma
hans			han (1)			han
nat			nat (0)			nat
iui			ivir (1)			ivir
taka			taka (0)			taka
iui			ivir (1)			ivir
um			um (0)			um
nat			nat (0)			nat
lof			lof (0)			lof
af			af (0)			af
böte			böta (1)			böta
han			han (1)			han
flere			flere (0)			flere
inne			inne (0)			inne
skal			skula (1)			skula
han			han (1)			han
örtugh			örtogh (1)			örtogh
nat			nat (0)			nat
han			han (1)			han
siþan			siþan (0)			siþan
nu			nu (0)			nu
um			um (0)			um
nat			nat (0)			nat
inne			inne (0)			inne
böte			böta (1)			böta
þöm			þän (1)			þän
sin			sin (0.6)			sin
þriþiu			þriþi (1)			þriþi
siþan			siþan (0)			siþan
ut			ut (0)			ut
föra			föra (0)			föra
iorþa			iorþa (0)			iorþa
han			han (1)			han
forra			fyrre (1)			fyrre
ut			ut (0)			ut
böte			böta (1)			böta
þöm			þän (1)			þän
iorþ			iorþ (0)			iorþ
aghu			ägha (1)			ägha
sum			sum (0)			sum
förþe			föra (1)			föra
iui			ivir (1)			ivir
nu			nu (0)			nu
til			til (0)			til
fylghia			fylghia (0)			fylghia
gript			gript (0)			gript
nu			nu (0)			nu
bonde			bonde (0)			bonde
lata			lata (0)			lata
siunga			siunga (0)			siunga
um			um (0)			um
þriþiu			þriþi (1)			þriþi
um			um (0)			um
um			um (0)			um
huarre			hvar (1)			hvar
offra			offra (0)			offra
lius			lius (0)			lius
nu			nu (0)			nu
skuld			skuld (0)			skuld
ringia			ringia (0)			ringia
til			til (0)			til
gen			gen (0)			gen
will			vilia (1)			vilia
bonde			bonde (0)			bonde
til			til (0)			til
ringia			ringia (0)			ringia
lata			lata (0)			lata
ska			skula (1)			skula
örtugh			örtogh (1)			örtogh
nu			nu (0)			nu
lusna			losna (1)			losna
band			band (0)			band
skal			skula (1)			skula
klokkare			klokkare (0)			klokkare
um			um (0)			um
i			i (0)			i
standa			standa (0)			standa
um			um (0)			um
um			um (0)			um
þriþia			þriþi (1)			þriþi
sokn			sokn (0)			sokn
nu			nu (0)			nu
klokka			klokka (0)			klokka
siþan			siþan (0)			siþan
slar			sla (1)			sla
han			han (1)			han
þöm			þän (1)			þän
skal			skula (1)			skula
böta			böta (0)			böta
af			af (0)			af
nu			nu (0)			nu
klokka			klokka (0)			klokka
siþan			siþan (0)			siþan
nu			nu (0)			nu
klokka			klokka (0)			klokka
þöm			þän (1)			þän
böte			böta (1)			böta
nu			nu (0)			nu
sum			sum (0)			sum
til			til (0)			til
böte			böta (1)			böta
siax			siäx (1)			siäx
öra			öre (1)			öre
han			han (1)			han
utan			utan (0)			utan
han			han (1)			han
uili			vilia (1)			vilia
eldbruni			eldbruni (0)			eldbruni
lös			lös (0)			lös
han			han (1)			han
saklös			saklös (0)			saklös
han			han (1)			han
saklös			saklös (0)			saklös
nu			nu (0)			nu
klokkare			klokkare (0)			klokkare
hanum			han (1)			han
han			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
hans			han (1)			han
sla			sla (1)			sla
klukka			klokka (1)			klokka
han			han (1)			han
til			til (0)			til
nu			nu (0)			nu
þianist			þiänist (1)			þiänist
sina			sin (0.5)			sin
allan			alder (1)			alder
nu			nu (0)			nu
bonde			bonde (0)			bonde
af			af (0)			af
af			af (0)			af
röke			röker (1)			röker
han			han (1)			han
han			han (1)			han
in			in (0)			in
han			han (1)			han
ut at			ut at (0)			ut at
up at			up at (0)			up at
af			af (0)			af
huarn			hvar (0.5)			hvar
þriþia			þriþi (1)			þriþi
rök			röker (1)			röker
sum			sum (0)			sum
han			han (1)			han
nu			nu (0)			nu
um			um (0)			um
kirkia			kirkia (0)			kirkia
þön			þän (1)			þän
sokn			sokn (0)			sokn
nu			nu (0)			nu
bonde			bonde (0)			bonde
in			in (0)			in
sin			sin (0.6)			sin
af			af (0)			af
taka			taka (0)			taka
bonde			bonde (0)			bonde
buþ			buþ (0)			buþ
i			i (0)			i
þöm			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
sum			sum (0)			sum
tiunde			tionde (1)			tionde
för			fyr (1)			fyr
han			han (1)			han
gialda			giälda (1)			giälda
siþan			siþan (0)			siþan
han			han (1)			han
gialda			giälda (1)			giälda
bonde			bonde (0)			bonde
bryti			bryti (0)			bryti
tiunde			tionde (1)			tionde
fore			for (1)			for
sin			sin (0.6)			sin
hion			hion (0)			hion
nu			nu (0)			nu
skal			skula (1)			skula
bonde			bonde (0)			bonde
lutum			luter (1)			luter
in			in (0)			in
þriska			þriska (0.333333)			þriska
haua			hava (1)			hava
i			i (0)			i
þry			þrir (1)			þrir
þriþia			þriþi (1)			þriþi
aghu			ägha (1)			ägha
nu			nu (0)			nu
i			i (0)			i
sokn			sokn (0)			sokn
han			han (1)			han
sinum			sin (0.5)			sin
atta			atta (0)			atta
saman			saman (0)			saman
boldiur			boldiur (0)			boldiur
örtugh			örtogh (1)			örtogh
þy			þän (1)			þän
þön			þän (1)			þän
sein			vara (1)			vara
flere			flere (0)			flere
nu			nu (0)			nu
klokkare			klokkare (0)			klokkare
span			spander (0.5)			spander
af			af (0)			af
þöm			þän (1)			þän
sum			sum (0)			sum
korn			korn (0)			korn
nu			nu (0)			nu
klokkare			klokkare (0)			klokkare
um			um (0)			um
huart			hvar (1)			hvar
um			um (0)			um
iul			iul (0)			iul
um			um (0)			um
þriþiu			þriþi (1)			þriþi
um			um (0)			um
nu			nu (0)			nu
þe			þän (1)			þän
sum			sum (0)			sum
skuld			skuld (0)			skuld
þe			þän (1)			þän
aghu			ägha (1)			ägha
lefs sufl			lefs sufl (0)			lefs sufl
et			en (1)			en
sin			sin (0.6)			sin
um			um (0)			um
nu			nu (0)			nu
kan			kunna (1)			kunna
klokkare			klokkare (0)			klokkare
han			han (1)			han
sum			sum (0)			sum
han			han (1)			han
skulde			skula (1)			skula
han			han (1)			han
mykit			mykil (1)			mykil
sufl			sufl (0)			sufl
sum			sum (0)			sum
till			til (1)			til
wari			vara (1)			vara
saklös			saklös (0)			saklös
nu			nu (0)			nu
klokkare			klokkare (0)			klokkare
þöm			þän (1)			þän
mykit			mykil (1)			mykil
þianist			þiänist (1)			þiänist
sum			sum (0)			sum
þöm			þän (1)			þän
tiunda			tionda (1)			tionda
korn			korn (0)			korn
nu			nu (0)			nu
kan			kunna (1)			kunna
man			maþer (1)			maþer
liggia			liggia (0)			liggia
i			i (0)			i
sokn			sokn (0)			sokn
bonda			bonde (1)			bonde
skuld			skuld (0)			skuld
sum			sum (0)			sum
han			han (1)			han
buþ			buþ (0)			buþ
til			til (0)			til
hans			han (1)			han
koma			koma (0)			koma
skripta			skripta (0)			skripta
olia			olia (0)			olia
um			um (0)			um
nat			nat (0)			nat
fiura			fiurir (1)			fiurir
siunga			siunga (0)			siunga
af			af (0)			af
taka			taka (0)			taka
sum			sum (0)			sum
han			han (1)			han
dör			döia (1)			döia
buþ			buþ (0)			buþ
will			vilia (1)			vilia
til			til (0)			til
koma			koma (0)			koma
han			han (1)			han
inne			inne (0)			inne
um			um (0)			um
nat			nat (0)			nat
siþan			siþan (0)			siþan
han			han (1)			han
atta			atta (0)			atta
buþ			buþ (0)			buþ
will			vilia (1)			vilia
til			til (0)			til
koma			koma (0)			koma
sum			sum (0)			sum
buþ			buþ (0)			buþ
böte			böta (1)			böta
þöm			þän (1)			þän
sum			sum (0)			sum
inne			inne (0)			inne
siþan			siþan (0)			siþan
han			han (1)			han
til			til (0)			til
föra			föra (0)			föra
gript			gript (0)			gript
buþ			buþ (0)			buþ
will			vilia (1)			vilia
iorþa			iorþa (0)			iorþa
böte			böta (1)			böta
dör			döia (1)			döia
stafkarl			stafkarl (0)			stafkarl
i			i (0)			i
sokn			sokn (0)			sokn
þianist			þiänist (1)			þiänist
hanum			han (1)			han
þo at			þo at (0)			þo at
han			han (1)			han
nu			nu (0)			nu
bonde			bonde (0)			bonde
um			um (0)			um
böte			böta (1)			böta
öra			öre (1)			öre
ut			ut (0)			ut
þöm			þän (1)			þän
sum			sum (0)			sum
þriþia			þriþi (1)			þriþi
um			um (0)			um
þry			þrir (1)			þrir
böte			böta (1)			böta
nu			nu (0)			nu
bonde			bonde (0)			bonde
til			til (0)			til
þöghine			þöghine (0)			þöghine
hans			han (1)			han
utan			utan (0)			utan
han			han (1)			han
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
han			han (1)			han
förþe			föra (1)			föra
han			han (1)			han
han			han (1)			han
böþ			biuþa (1)			biuþa
han			han (1)			han
ut			ut (0)			ut
þe			þän (1)			þän
þe			þän (1)			þän
taka			taka (0)			taka
orka			orka (0)			orka
böte			böta (1)			böta
öra			öre (1)			öre
han			han (1)			han
minna			minne (1)			minne
um			um (0)			um
þry			þrir (1)			þrir
han			han (1)			han
um			um (0)			um
þru			þrir (1)			þrir
böte			böta (1)			böta
þre			þrir (1)			þrir
sum			sum (0)			sum
för			fyr (1)			fyr
nu			nu (0)			nu
sin			sin (0.6)			sin
huart			hvar (1)			hvar
þriþia			þriþi (1)			þriþi
sokn			sokn (0)			sokn
koma			koma (0)			koma
natta			nat (1)			nat
af			af (0)			af
taka			taka (0)			taka
tolf			tolf (0)			tolf
han			han (1)			han
han			han (1)			han
folk			folk (0)			folk
sea			sea (0)			sea
sea			sea (0)			sea
skal			skula (1)			skula
han			han (1)			han
buþ			buþ (0)			buþ
i			i (0)			i
i			i (0)			i
þe			þän (1)			þän
skulu			skula (1)			skula
sitia			sitia (0)			sitia
i			i (0)			i
sum			sum (0)			sum
þe			þän (1)			þän
ia			ia (0)			ia
sum			sum (0)			sum
siþan			siþan (0)			siþan
til			til (0)			til
skal			skula (1)			skula
sitia			sitia (0)			sitia
ensamin			ensamin (1)			ensamin
alla			alder (1)			alder
sum			sum (0)			sum
alla			alder (1)			alder
utan			utan (0)			utan
uili			vilia (1)			vilia
undi			undir (1)			undir
þe			þän (1)			þän
þe			þän (1)			þän
all			alder (1)			alder
aghu			ägha (1)			ägha
huma mal			huma mal (0)			huma mal
aghu			ägha (1)			ägha
aghu			ägha (1)			ägha
koma			koma (0)			koma
hor			hor (0)			hor
mandrap			mandrap (0)			mandrap
þe			þän (1)			þän
böta			böta (0)			böta
þe			þän (1)			þän
sum			sum (0)			sum
rans mal			rans mal (0)			rans mal
þe			þän (1)			þän
sum			sum (0)			sum
nu			nu (0)			nu
koma			koma (0)			koma
slita			slita (0)			slita
nu			nu (0)			nu
man			maþer (1)			maþer
man			maþer (1)			maþer
til			til (0)			til
iak			iak (0)			iak
taka			taka (0)			taka
af			af (0)			af
sum			sum (0)			sum
af			af (0)			af
nu			nu (0)			nu
af			af (0)			af
mik			iak (1)			iak
man			maþer (1)			maþer
til			til (0)			til
aghu			ägha (1)			ägha
þe			þän (1)			þän
koma			koma (0)			koma
þe			þän (1)			þän
baþir			baþir (0)			baþir
ma			magha (1)			magha
skripta			skripta (0)			skripta
baþir			baþir (0)			baþir
han			han (1)			han
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
fasta			fasta (0)			fasta
böta			böta (0)			böta
utan			utan (0)			utan
han			han (1)			han
skal			skula (1)			skula
fasta			fasta (0)			fasta
böta			böta (0)			böta
all			alder (1)			alder
þön			þän (1)			þän
skulu			skula (1)			skula
fasta			fasta (0)			fasta
böta			böta (0)			böta
utan			utan (0)			utan
han			han (1)			han
skal			skula (1)			skula
fasta			fasta (0)			fasta
böta			böta (0)			böta
nu			nu (0)			nu
soknare			soknare (0)			soknare
eigh			eigh (0)			eigh
skal			skula (1)			skula
han			han (1)			han
sinum			sin (0.5)			sin
nu			nu (0)			nu
kona			kona (0)			kona
i			i (0)			i
sum			sum (0)			sum
þy			þän (1)			þän
han			han (1)			han
saklös			saklös (0)			saklös
hanum			han (1)			han
lönda skript			lönda skript (0)			lönda skript
utan			utan (0)			utan
han			han (1)			han
han			han (1)			han
nu			nu (0)			nu
soknare			soknare (0)			soknare
til			til (0)			til
hans			han (1)			han
skal			skula (1)			skula
han			han (1)			han
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
han			han (1)			han
nu			nu (0)			nu
skript			skript (0)			skript
i			i (0)			i
synd			synd (0)			synd
brut			brut (0)			brut
han			han (1)			han
hanum			han (1)			han
lönda skript			lönda skript (0)			lönda skript
hor			hor (0)			hor
skript			skript (0)			skript
mandrap			mandrap (0)			mandrap
i			i (0)			i
synd			synd (0)			synd
skripta brut			skripta brut (0)			skripta brut
han			han (1)			han
nu			nu (0)			nu
i			i (0)			i
skript			skript (0)			skript
af			af (0)			af
sinum			sin (0.5)			sin
i			i (0)			i
synd			synd (0)			synd
skript			skript (0)			skript
af			af (0)			af
sinum			sin (0.5)			sin
saklös			saklös (0)			saklös
hanum			han (1)			han
up			up (0)			up
böte			böta (1)			böta
nu			nu (0)			nu
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
þe			þän (1)			þän
sum			sum (0)			sum
först			fyrst (1)			fyrst
i			i (0)			i
þöm			þän (1)			þän
lönda skript			lönda skript (0)			lönda skript
nu			nu (0)			nu
ma			magha (1)			magha
ganga			ganga (0)			ganga
skal			skula (1)			skula
döma			döma (0)			döma
nu			nu (0)			nu
þön			þän (1)			þän
sum			sum (0)			sum
i			i (0)			i
þy			þän (1)			þän
skulu			skula (1)			skula
i			i (0)			i
sant			sander (1)			sander
leta			leta (1)			leta
sum			sum (0)			sum
þön			þän (1)			þän
skal			skula (1)			skula
nu			nu (0)			nu
han			han (1)			han
far			fa (0.333333)			fa
han			han (1)			han
siu			siu (0)			siu
af			af (0)			af
hans			han (1)			han
nu			nu (0)			nu
þöm			þän (1)			þän
sum			sum (0)			sum
i			i (0)			i
flere			flere (0)			flere
wilia			vilia (1)			vilia
flere			flere (0)			flere
wilia			vilia (1)			vilia
sum			sum (0)			sum
flere			flere (0)			flere
nu			nu (0)			nu
han			han (1)			han
huarte			hvarte (1)			hvarte
ut			ut (0)			ut
alla			alder (1)			alder
gör			göra (1)			göra
i			i (0)			i
huarte			hvarte (1)			hvarte
böte			böta (1)			böta
tolf			tolf (0)			tolf
nu			nu (0)			nu
siax			siäx (1)			siäx
siax			siäx (1)			siäx
aghu			ägha (1)			ägha
þe			þän (1)			þän
sum			sum (0)			sum
i			i (0)			i
nu			nu (0)			nu
skal			skula (1)			skula
sannind			sannind (0)			sannind
leta			leta (1)			leta
nu			nu (0)			nu
man			maþer (1)			maþer
sum			sum (0)			sum
innan			innan (0)			innan
dör			döia (1)			döia
dör			döia (1)			döia
hanum			han (1)			han
þe			þän (1)			þän
sum			sum (0)			sum
böte			böta (1)			böta
sina			sin (0.5)			sin
huar			hvar (1)			hvar
sum			sum (0)			sum
lönlika			lönlika (0)			lönlika
nu			nu (0)			nu
skulu			skula (1)			skula
böta			böta (0)			böta
för			fyr (1)			fyr
laghwnnin			laghvinna (1)			laghvinna
hanum			han (1)			han
skulu			skula (1)			skula
hans			han (1)			han
böta			böta (0)			böta
sum			sum (0)			sum
nu			nu (0)			nu
sum			sum (0)			sum
i			i (0)			i
þe			þän (1)			þän
siax			siäx (1)			siäx
þre			þrir (1)			þrir
osannind			osannind (0)			osannind
olagh			olagh (0)			olagh
þöm			þän (1)			þän
þy			þän (1)			þän
huar			hvar (1)			hvar
sialuan			siälver (1)			siälver
nu			nu (0)			nu
ur			ur (0)			ur
suor			sväria (1)			sväria
han			han (1)			han
böte			böta (1)			böta
saklös			saklös (0)			saklös
i			i (0)			i
þöm			þän (1)			þän
þöm			þän (1)			þän
ur			ur (0)			ur
þe			þän (1)			þän
aghu			ägha (1)			ägha
böta			böta (0)			böta
nu			nu (0)			nu
til			til (0)			til
han			han (1)			han
haua			hava (1)			hava
i			i (0)			i
þöm			þän (1)			þän
sum			sum (0)			sum
ne			ne (0)			ne
gen			gen (0)			gen
hans			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
gangit			ganga (1)			ganga
saklös			saklös (0)			saklös
böte			böta (1)			böta
sum			sum (0)			sum
nu			nu (0)			nu
sum			sum (0)			sum
aghu			ägha (1)			ägha
i			i (0)			i
soknare			soknare (0)			soknare
soknare			soknare (0)			soknare
soknare			soknare (0)			soknare
han			han (1)			han
til			til (0)			til
af			af (0)			af
siþan			siþan (0)			siþan
flere			flere (0)			flere
til			til (0)			til
skal			skula (1)			skula
han			han (1)			han
taka			taka (0)			taka
sin			sin (0.6)			sin
til			til (0)			til
koma			koma (0)			koma
taki			taki (0)			taki
þöm			þän (1)			þän
iak			iak (0)			iak
þöm			þän (1)			þän
i			i (0)			i
atte			ägha (1)			ägha
siþan			siþan (0)			siþan
hanum			han (1)			han
af			af (0)			af
nu			nu (0)			nu
þöm			þän (1)			þän
sum			sum (0)			sum
sum			sum (0)			sum
i			i (0)			i
sin			sin (0.6)			sin
þo			þo (0)			þo
sum			sum (0)			sum
saklös			saklös (0)			saklös
nu			nu (0)			nu
kunnu			kunna (1)			kunna
koma			koma (0)			koma
sum			sum (0)			sum
i			i (0)			i
aghu			ägha (1)			ägha
